module_id,module_name,Gene Name,gene_role,function_summary,reference_label,atlas_id,solyc_id
glandular_regulation,Glandular regulation,GCR2,MYB-like transcription factor,Redundant/related gland-cell regulatory component with GCR1.,Chang et al. 2024; Mandal et al. 2025,Solyc03g006150.2,Solyc03g006150
glandular_regulation,Glandular regulation,TOE1B,AP2/ERF transcription factor,TOE/AP2-like regulator connected to GCR-mediated glandular regulation.,Chang et al. 2024; Mandal et al. 2025,Solyc04g049800.3,Solyc04g049800
glandular_regulation,Glandular regulation,LFS,AP2/ERF transcription factor,LEAFLESS regulator linked to glandular trichome development and acylsugar-related programs.,Tian et al. 2020; Chang et al. 2024; Mandal et al. 2025; Wu et al. 2023,Solyc05g013540.1,Solyc05g013540
typeIV_acylsugar_metabolism,Type IV acylsugar metabolism,AACS1,Acyl-activating enzyme,Acyl-CoA synthetase/acyl-activating enzyme associated with acylsugar metabolism.,Mandal et al. 2025; acylsugar literature,Solyc07g043630.2,Solyc07g043630
typeIV_acylsugar_metabolism,Type IV acylsugar metabolism,AECH1,Enoyl-CoA hydratase,Medium-chain acylsugar pathway enzyme used as acylsugar-associated metabolic support.,Mandal et al. 2025; acylsugar literature,Solyc07g043680.3,Solyc07g043680
typeIV_acylsugar_metabolism,Type IV acylsugar metabolism,ABC Transporter,ABC transporter,Transporter associated with specialized metabolite/acylsugar-related output.,Mandal et al. 2025; acylsugar literature,Solyc03g005860.3,Solyc03g005860
typeIV_acylsugar_metabolism,Type IV acylsugar metabolism,ASAT2,Acylsugar acyltransferase,Acylsugar acyltransferase involved in acylsugar biosynthesis.,Kortbeek et al. 2016; Mandal et al. 2025; ASAT literature,Solyc04g012020.1,Solyc04g012020
typeIV_acylsugar_metabolism,Type IV acylsugar metabolism,ASH3,Acylsugar hydrolase,Acylsugar hydrolase associated with modification/remodeling of trichome defense compounds.,Acylsugar literature,Solyc09g075710.2,Solyc09g075710
typeVI_terpene_metabolism,Type VI terpene metabolism,MCPI,Metallocarboxypeptidase inhibitor / promoter marker,Promoter activity is enriched in type VI glandular head cells; useful gland-head marker rather than terpene enzyme.,Ying et al. 2022; Brand-Duran 2024,Solyc01g067295.1,Solyc01g067295
typeVI_terpene_metabolism,Type VI terpene metabolism,EOT1,Terpene-associated regulatory TF / promoter marker,Reporter/promoter marker and regulator associated with terpene biosynthesis.,Kortbeek et al. 2016; Zocca et al. 2025,Solyc02g062400.3,Solyc02g062400
typeVI_terpene_metabolism,Type VI terpene metabolism,EOT2,Terpene-associated regulatory TF,Trichome-enriched regulator of terpene biosynthetic pathway genes; reduced in glandless material.,Zocca et al. 2025,Solyc03g033680.1,Solyc03g033680
typeVI_terpene_metabolism,Type VI terpene metabolism,TPS9,Sesquiterpene synthase / promoter marker,Type VI glandular trichome TPS marker; Solyc06g059885 version retained from Brand-Duran evidence.,Zocca et al. 2025; Xu et al. 2018; Brand-Duran 2024,Solyc06g059885.1,Solyc06g059885
reference_control,Reference control,RBCS-1,Rubisco small subunit,General photosynthetic/mesophyll-associated reference marker.,Tian et al. 2020; ITAG4 annotation,Solyc02g063150.3,Solyc02g063150
reference_control,Reference control,CAB13,Chlorophyll a/b binding protein,CAB/LHCB-like photosynthetic light-harvesting reference marker.,Tian et al. 2020; ITAG4 annotation,Solyc12g011450.2,Solyc12g011450
reference_control,Reference control,PSBO,Photosystem II oxygen-evolving complex protein,Photosystem II reference marker used as non-glandular photosynthetic context control.,ITAG4 annotation,Solyc02g065400.3,Solyc02g065400
reference_control,Reference control,PSBS,Photosystem II subunit S,Photosystem II photoprotection-related reference marker.,ITAG4 annotation,Solyc06g060340.3,Solyc06g060340
reference_control,Reference control,PSBR,Photosystem II subunit R,Photosystem II reference marker used as photosynthetic context control.,ITAG4 annotation,Solyc07g066310.3,Solyc07g066310
reference_control,Reference control,WEE1,Protein kinase WEE1,Cell-cycle checkpoint/proliferation context marker.,ITAG4 annotation,Solyc09g074830.3,Solyc09g074830
reference_control,Reference control,Histone H4,Histone H4,Histone marker of chromatin replication/mitotic activity.,ITAG4 annotation; Tian et al. 2020,Solyc04g011390.1,Solyc04g011390
